日付,広告セットID,広告セット名,キャンペーン名,インプレッション,クリック,コンバージョン,CTR(%),CVR(%),消費額,CPA
2025-12-01,"1849387226692610","副業 強化","251121 AI スマ 二極化 検証  LP2-CR00092-95",10676,62,0,0.5807,0.0000,13731.00,0
2025-12-02,"1849387226692610","副業 強化","251121 AI スマ 二極化 検証  LP2-CR00092-95",6430,28,0,0.4355,0.0000,9065.00,0
2025-12-01,"1848673395710241","8個の広告セットCR00045-55をコピー","251108/セミ/ダイジェスト冒頭テスト/LP2-CR00045-55",2302,19,0,0.8254,0.0000,3015.00,0
2025-12-02,"1848673395710241","8個の広告セットCR00045-55をコピー","251108/セミ/ダイジェスト冒頭テスト/LP2-CR00045-55",2147,11,0,0.5123,0.0000,3008.00,0
2025-12-01,"1849868184450194","箕輪さん②","251126 AI スマ 著名人 AI学ぶな  LP2-CR000123-131",3238,15,0,0.4632,0.0000,4037.00,0
2025-12-02,"1849868184450194","箕輪さん②","251126 AI スマ 著名人 AI学ぶな  LP2-CR000123-131",3351,12,0,0.3581,0.0000,4126.00,0
2025-12-01,"1849688384580641","1個の1118_広告セット 20251113110929をコピー","251120/セミ/スマ/新ダイジェスト/LP2-CR00103-108",4796,29,0,0.6047,0.0000,7166.00,0
2025-12-02,"1849688384580641","1個の1118_広告セット 20251113110929をコピー","251120/セミ/スマ/新ダイジェスト/LP2-CR00103-108",3170,23,0,0.7256,0.0000,7239.00,0
2025-12-01,"1850044449083410","広告セット 20251108104919","251128 AI スマ AIまとめ(二極化 1年後悔)  LP2-CR00138",55661,211,0,0.3791,0.0000,49548.00,0
2025-12-02,"1850044449083410","広告セット 20251108104919","251128 AI スマ AIまとめ(二極化 1年後悔)  LP2-CR00138",346,1,0,0.2890,0.0000,849.00,0
2025-12-01,"1849214577537234","5個の広告セット をコピー","251119 AI スマ 年商30億企業の社長  LP2-CR00076-83",2781,26,0,0.9349,0.0000,3003.00,0
2025-12-02,"1849214577537234","5個の広告セット をコピー","251119 AI スマ 年商30億企業の社長  LP2-CR00076-83",552,9,0,1.6304,0.0000,765.00,0
2025-12-01,"1834696428482562","広告セット 20250526124919","6/12 AI CR378 スマ AIまとめ1",0,0,0,0,0,0.00,0
2025-12-01,"1849868184451314","林社長①","251126 AI スマ 著名人 AI学ぶな  LP2-CR000123-131",3864,17,0,0.4400,0.0000,5000.00,0
2025-12-02,"1849868184451314","林社長①","251126 AI スマ 著名人 AI学ぶな  LP2-CR000123-131",3180,17,0,0.5346,0.0000,2978.00,0
2025-12-01,"1848478699156497","女性のみ配信","251111 AI スマ 女性向けUGC  LP2-CR00057 58",0,0,0,0,0,0.00,0
2025-12-02,"1848478699156497","女性のみ配信","251111 AI スマ 女性向けUGC  LP2-CR00057 58",0,0,0,0,0,0.00,0
2025-12-01,"1849825084075282","251126　ノンタゲ","251126 セン タゲ CR584～CR585　林社長→アルゴリズム",2022,354,0,17.5074,0.0000,2884.00,0
2025-12-02,"1849825084075282","251126　ノンタゲ","251126 セン タゲ CR584～CR585　林社長→アルゴリズム",1602,264,0,16.4794,0.0000,2446.00,0
2025-12-01,"1849185525108849","広告セット ","251119 AI スマ 緊急動画  LP2-CR00072",3424,28,0,0.8178,0.0000,5042.00,0
2025-12-02,"1849185525108849","広告セット ","251119 AI スマ 緊急動画  LP2-CR00072",2788,26,0,0.9326,0.0000,4993.00,0
2025-12-01,"1849226757788882","AI","251119 AI スマ 正直に答えてね  LP2-CR00084-91",0,0,0,0,0,0.00,0
2025-12-02,"1849226757788882","AI","251119 AI スマ 正直に答えてね  LP2-CR00084-91",0,0,0,0,0,0.00,0
2025-12-01,"1837613085935762","広告セット 20250714023945","7/15 セン CR412 スマ パクるやつ多すぎ（まとめ）新ピクセル",0,0,0,0,0,0.00,0
2025-12-01,"1849867537425585","ホリエモン①","251126 AI スマ 著名人 AI学ぶな  LP2-CR000123-131",3918,23,0,0.5870,0.0000,4001.00,0
2025-12-02,"1849867537425585","ホリエモン①","251126 AI スマ 著名人 AI学ぶな  LP2-CR000123-131",4371,15,0,0.3432,0.0000,4003.00,0
2025-12-01,"1850034732529905","1.25","251121 AI スマ 二極化 検証  LP2-CR00092-95",2408,21,0,0.8721,0.0000,6130.00,0
2025-12-02,"1850034732529905","1.25","251121 AI スマ 二極化 検証  LP2-CR00092-95",3,0,0,0.0000,0,3.00,0
