広告ID,広告名,アカウント名,LP-CR,登録経路,出稿日,初動終了日,初動3日間費用,初動3日間CV数,初動3日間CPA
1851740417175745,"251217/清水絢吾/箕輪さん/コピー5/LP2-CR00171",AI_3,LP2-CR00171,"TikTok広告-AI-LP2-CR00171",2025-12-16,2025-12-18,7102.00,1,7102.00
1851761600511122,"251218/清水絢吾/質問_学校で問題ないです/LP1-CR00719",AI_1,LP1-CR00719,"TikTok広告-AI-LP1-CR00719",2025-12-17,2025-12-19,9006.00,4,2251.50
1851945908501537,"251220/高橋海斗/1年後悔_学校/LP1-CR00720",AI_1,LP1-CR00720,"TikTok広告-AI-LP1-CR00720",2025-12-19,2025-12-21,9023.00,2,4511.50
1852043655859218,"251221/清水絢吾/二極化_教室Ver_フリーランス独立（冒頭カットなし）/LP1-CR00726",AI_1,LP1-CR00726,"TikTok広告-AI-LP1-CR00726",2025-12-20,2025-12-22,8624.00,8,1078.00
1852043386634738,"251221/清水絢吾/二極化_教室Ver_副業月7桁/LP1-CR00721",AI_1,LP1-CR00721,"TikTok広告-AI-LP1-CR00721",2025-12-20,2025-12-22,8571.00,8,1071.38
1852043655860338,"251221/清水絢吾/二極化_教室Ver_AI時代の事業化/LP1-CR00723",AI_1,LP1-CR00723,"TikTok広告-AI-LP1-CR00723",2025-12-20,2025-12-22,8714.00,4,2178.50
1852043655862418,"251221/清水絢吾/二極化_教室Ver_フリーランス起業/LP1-CR00722",AI_1,LP1-CR00722,"TikTok広告-AI-LP1-CR00722",2025-12-20,2025-12-22,11261.00,5,2252.20
1852043655860306,"251221/清水絢吾/二極化_教室Ver_フリーランス月7桁/LP1-CR00724",AI_1,LP1-CR00724,"TikTok広告-AI-LP1-CR00724",2025-12-20,2025-12-22,9036.00,4,2259.00
1852043655859250,"251221/清水絢吾/二極化_教室Ver_フリーランス独立（冒頭カットなし）/LP1-CR00725",AI_1,LP1-CR00725,"TikTok広告-AI-LP1-CR00725",2025-12-20,2025-12-22,10016.00,3,3338.67
1852044836698130,"251221/清水絢吾/正直に答えてね_冒頭6/LP1-CR00732",AI_1,LP1-CR00732,"TikTok広告-AI-LP1-CR00732",2025-12-20,2025-12-22,10040.00,2,5020.00
1852044836701202,"251221/清水絢吾/正直に答えてね_冒頭2/LP1-CR00728",AI_1,LP1-CR00728,"TikTok広告-AI-LP1-CR00728",2025-12-20,2025-12-22,10100.00,1,10100.00
1852044836700338,"251221/清水絢吾/正直に答えてね_冒頭3/LP1-CR00729",AI_1,LP1-CR00729,"TikTok広告-AI-LP1-CR00729",2025-12-20,2025-12-22,9087.00,4,2271.75
1852044836698162,"251221/清水絢吾/正直に答えてね_冒当5/LP1-CR00730",AI_1,LP1-CR00730,"TikTok広告-AI-LP1-CR00730",2025-12-20,2025-12-22,10054.00,2,5027.00
1852044836700306,"251221/清水絢吾/正直に答えてね_冒頭4/LP1-CR00731",AI_1,LP1-CR00731,"TikTok広告-AI-LP1-CR00731",2025-12-20,2025-12-22,9004.00,5,1800.80
