広告ID,広告名,CR名,LP名,登録経路,配信開始日,初動終了日,初動3日間費用,初動3日間CV数,初動3日間CPA
1.85373E+15,260109/清水絢吾/個別予約CPO低いCR詰め合わせ/LP2-CR00231,CR00231,LP2,TikTok広告-スキルプラス-LP2-CR00231,2026/1/9,2026/1/11,9559,1,9559
1.85373E+15,260109/清水絢吾/個別予約CPO低いCR詰め合わせ/LP2-CR00232,CR00232,LP2,TikTok広告-スキルプラス-LP2-CR00232,2026/1/9,2026/1/11,10127,1,10127
1.85374E+15,260109/高橋海斗/2026セミナー冒頭1/LP2-CR00233,CR00233,LP2,TikTok広告-スキルプラス-LP2-CR00233,2026/1/9,2026/1/11,9405,3,3135
1.85374E+15,260109/高橋海斗/2026セミナー冒頭2/LP2-CR00234,CR00234,LP2,TikTok広告-スキルプラス-LP2-CR00234,2026/1/9,2026/1/11,8174,1,8174
1.85374E+15,260109/高橋海斗/2026セミナー冒頭3/LP2-CR00235,CR00235,LP2,TikTok広告-スキルプラス-LP2-CR00235,2026/1/9,2026/1/11,6827,0,N/A
1.85374E+15,260109/高橋海斗/2026セミナー冒頭4/LP2-CR00236,CR00236,LP2,TikTok広告-スキルプラス-LP2-CR00236,2026/1/9,2026/1/11,5167,0,N/A
1.85374E+15,260109/高橋海斗/2026出世セミナー冒頭1/LP2-CR00237,CR00237,LP2,TikTok広告-スキルプラス-LP2-CR00237,2026/1/9,2026/1/11,9229,1,9229
1.85374E+15,260109/高橋海斗/2026出世セミナー冒頭2/LP2-CR00238,CR00238,LP2,TikTok広告-スキルプラス-LP2-CR00238,2026/1/9,2026/1/11,9056,3,3018.67
1.85374E+15,260109/高橋海斗/2026出世セミナー冒頭3/LP2-CR00239,CR00239,LP2,TikTok広告-スキルプラス-LP2-CR00239,2026/1/9,2026/1/11,5331,0,N/A
1.85374E+15,260109/高橋海斗/2026出世セミナー冒頭4/LP2-CR00240,CR00240,LP2,TikTok広告-スキルプラス-LP2-CR00240,2026/1/9,2026/1/11,5082,0,N/A
1.85374E+15,260109/高橋海斗/202TT冒頭0セミナー開催決定再撮影/LP2-CR00241,CR00241,LP2,TikTok広告-スキルプラス-LP2-CR00241,2026/1/9,2026/1/11,5058,0,N/A
1.85374E+15,260109/高橋海斗/2026TT冒頭1セミナー開催決定再撮影/LP2-CR00242,CR00242,LP2,TikTok広告-スキルプラス-LP2-CR00242,2026/1/9,2026/1/11,5409,0,N/A
1.85374E+15,260109/高橋海斗/2026冒頭2セミナー開催決定再撮影/LP2-CR00243,CR00243,LP2,TikTok広告-スキルプラス-LP2-CR00243,2026/1/9,2026/1/11,24426,1,24426
1.85374E+15,260109/高橋海斗/2026冒頭3セミナー開催決定再撮影/LP2-CR00244,CR00244,LP2,TikTok広告-スキルプラス-LP2-CR00244,2026/1/9,2026/1/11,5393,0,N/A
1.85384E+15,260110/倫都/社会人3年目になって気づいた10の真実/LP2-CR00245,CR00245,LP2,TikTok広告-スキルプラス-LP2-CR00245,2026/1/10,2026/1/12,6908,0,N/A
1.85385E+15,260110/清水絢吾/本質足りてない2/LP2-CR00246,CR00246,LP2,TikTok広告-スキルプラス-LP2-CR00246,2026/1/10,2026/1/12,41707,5,8341.4
1.85385E+15,260110/清水絢吾/本質足りてない2/LP2-CR00247,CR00247,LP2,TikTok広告-スキルプラス-LP2-CR00247,2026/1/10,2026/1/12,6571,0,N/A
1.85385E+15,260110/清水絢吾/本質足りてない2/LP2-CR00248,CR00248,LP2,TikTok広告-スキルプラス-LP2-CR00248,2026/1/10,2026/1/12,6499,0,N/A
1.85392E+15,260111/清水絢吾/小さな一歩/LP2-CR00249,CR00249,LP2,TikTok広告-スキルプラス-LP2-CR00249,2026/1/11,2026/1/13,6989,0,N/A
1.85394E+15,260110/千葉信輝/セミナー開催出世冒頭2奇行追加Ver/LP2-CR00251,CR00251,LP2,TikTok広告-スキルプラス-LP2-CR00251,2026/1/11,2026/1/13,7598,1,7598
1.85394E+15,260110/千葉信輝/セミナー開催決定Ver2冒頭2ビル一刀/LP2-CR00252,CR00252,LP2,TikTok広告-スキルプラス-LP2-CR00252,2026/1/11,2026/1/13,10048,2,5024
1.85394E+15,260110/鈴木織大/会社に依存/LP2-CR00253,CR00253,LP2,TikTok広告-スキルプラス-LP2-CR00253,2026/1/11,2026/1/13,19903,7,2843.29
1.85399E+15,260111/鈴木織大/会社に依存/LP2-CR00254,CR00254,LP2,TikTok広告-スキルプラス-LP2-CR00254,2026/1/11,2026/1/13,8722,0,N/A
1.85399E+15,260111/鈴木織大/会社に依存/LP2-CR00255,CR00255,LP2,TikTok広告-スキルプラス-LP2-CR00255,2026/1/11,2026/1/13,8898,1,8898
