広告ID,広告名,広告タイプ,登録経路,インプレッション,クリック数,費用,CTR(%),CPM,CV数,CVR(%),CPA
1.84186E+15,繧ｹ繧ｭ繝ｫ鄙貞ｾ励そ繝溘リ繝ｼ_蠎・相繝上ｙ繝翫・_A_zTdumA3g.jpg_260825/池本眞衣/8/31セミナー集客/デザイン1_1080/LP1-CR00021,REGULAR,TikTok広告-スキルプラス-LP2-CR00162,0,0,0,0,0,0,0,0
1.84186E+15,繧ｹ繧ｭ繝ｫ鄙貞ｾ励そ繝溘リ繝ｼ_蠎・相繝上ｙ繝翫・_A_zTdumA3g.jpg_260825/池本眞衣/8/31セミナー集客/デザイン1_1080/LP1-CR00021,REGULAR,TikTok広告-スキルプラス-LP2-CR00163,0,0,0,0,0,0,0,0
1.84167E+15,繧ｹ繧ｭ繝ｫ鄙貞ｾ励そ繝溘リ繝ｼ_蠎・相繝上ｙ繝翫・_A_zTdumA3g.jpg_260825/池本眞衣/8/31セミナー集客/デザイン1_1080/LP1-CR00021,REGULAR,TikTok広告-スキルプラス-LP2-CR00164,0,0,0,0,0,0,0,0
1.84167E+15,260825/池本眞衣/8/31セミナー集客/デザイン1_1080/LP1-CR00020,REGULAR,TikTok広告-スキルプラス-LP2-CR00165,0,0,0,0,0,0,0,0
1.8414E+15,260825/池本眞衣/8/31セミナー集客/デザイン2_1080/LP1-CR00015,REGULAR,TikTok広告-スキルプラス-LP2-CR00166,0,0,0,0,0,0,0,0
1.8414E+15,260825/池本眞衣/8/31セミナー集客/デザイン3_1920/LP1-CR00019,REGULAR,TikTok広告-スキルプラス-LP2-CR00167,0,0,0,0,0,0,0,0
1.8414E+15,260825/池本眞衣/8/31セミナー集客/デザイン2_1920/LP1-CR00018,REGULAR,TikTok広告-スキルプラス-LP2-CR00168,0,0,0,0,0,0,0,0
1.8414E+15,260825/池本眞衣/8/31セミナー集客/デザイン1_1920/LP1-CR00017,REGULAR,TikTok広告-スキルプラス-LP2-CR00169,0,0,0,0,0,0,0,0
1.8414E+15,260825/池本眞衣/8/31セミナー集客/デザイン3_1080/LP1-CR00016,REGULAR,TikTok広告-スキルプラス-LP2-CR00170,0,0,0,0,0,0,0,0
1.8414E+15,繧ｹ繧ｭ繝ｫ鄙貞ｾ励そ繝溘リ繝ｼ_蠎・相繝上ｙ繝翫・_A_zTdumA3g.jpg_260825/池本眞衣/8/31セミナー集客/デザイン1_1080/LP1-CR00014,REGULAR,TikTok広告-スキルプラス-LP2-CR00171,0,0,0,0,0,0,0,0
1.8414E+15,繧ｹ繧ｭ繝ｫ鄙貞ｾ励そ繝溘リ繝ｼ_蠎・相繝上ｙ繝翫・_A_zTdumA3g.jpg_260825/池本眞衣/8/31セミナー集客/デザイン1_1080/LP1-CR00014,REGULAR,TikTok広告-スキルプラス-LP2-CR00172,0,0,0,0,0,0,0,0
1.85147E+15,251214/清水絢吾/スマプラ/セミナーガチャ/LP2-CR00158,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00173,0,0,0,0,0,0,0,0
1.85154E+15,251215/清水絢吾/はいそこまで(セミナー)//LP2-CR00159,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00174,0,0,0,0,0,0,0,0
1.84923E+15,251120/清水絢吾/おい会社員/冒頭1/LP2-CR00109,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00175,0,0,0,0,0,0,0,0
1.84923E+15,251120/清水絢吾/おい会社員/冒頭11/LP2-CR00119,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00176,0,0,0,0,0,0,0,0
1.84923E+15,251120/清水絢吾/おい会社員/冒頭3/LP2-CR00111,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00177,0,0,0,0,0,0,0,0
1.84939E+15,251121/清水絢吾/スマプラ/新ダイジェスト/LP2-CR00123,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00178,0,0,0,0,0,0,0,0
1.85272E+15,251221/清水絢吾/開催決定ver2/冒頭1/LP2-CR00171,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00179,0,0,0,0,0,0,0,0
1.84868E+15,251113清水絢吾/おい会社員/穏やか_NISA貧乏/LP2-CR00091,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00180,0,0,0,0,0,1,0,0
1.84923E+15,251120/清水絢吾/おい会社員/冒頭7/LP2-CR00115,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00181,0,0,0,0,0,0,0,0
1.85272E+15,251221/清水絢吾/開催決定ver2/冒頭4/LP2-CR00174,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00182,0,0,0,0,0,0,0,0
1.84974E+15,251122/清水絢吾/開催決定強化/ホリエモン新冒頭1/LP2-CR00129,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00183,0,0,0,0,0,0,0,0
1.85136E+15,251213/清水絢吾/二極化 セミナー/冒頭2/LP2-CR00153,SMART_PLUS,TikTok広告-スキルプラス-LP2-CR00184,0,0,0,0,0,0,0,0
